AOA,Beta,d_e,d_a,d_r,p,q,r,Cx,Cy,Cz,Cl,Cm,Cn
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 3.8399999999999999e+00,-1.1599999999999999e+00, 0.0000000000000000e+00, 1.3666695628027895e-01, 7.0158132160766537e-02, 1.3388144939851319e+00,-9.8474134561108290e-02, 6.6705000571671103e-01,-1.2333127826652185e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 3.8399999999999999e+00,-1.1599999999999999e+00, 8.7300000000000000e-01, 1.4513498300523833e-01, 1.1190467232728118e-01, 1.3439412436114149e+00,-1.0604670758068163e-01, 6.7721608376790965e-01,-3.2447069317469199e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00,-3.8399999999999999e+00, 0.0000000000000000e+00, 8.7300000000000000e-01, 1.6503785019342224e-01, 2.8545534372596443e-01, 1.1979101832845518e+00, 1.4552875559621961e-01, 6.0370747303422367e-01,-1.3307599972022219e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00,-3.8399999999999999e+00, 1.1599999999999999e+00,-8.7300000000000000e-01, 1.0910003214241680e-01, 1.9049803842874458e-01, 1.1164585723535765e+00, 1.5666537016501586e-01, 4.6001986637659675e-01,-8.9212895231257541e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 3.8399999999999999e+00, 0.0000000000000000e+00,-8.7300000000000000e-01, 1.0142267449927156e-01, 3.0228178756035718e-02, 1.2031035993542019e+00,-8.7403171374682578e-02, 4.8445174273301450e-01, 3.3829124997994467e-03
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 3.8399999999999999e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0736933586704314e-01, 6.8853084815322013e-02, 1.2059119065202073e+00,-9.4970728413799069e-02, 4.9300618921639472e-01,-1.5446287109016488e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 3.8399999999999999e+00, 1.1599999999999999e+00, 0.0000000000000000e+00, 8.9679688855355641e-02, 6.8862641454142712e-02, 1.0843407007644355e+00,-9.1966432331050965e-02, 3.3220904007542895e-01,-1.9369032050265002e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 3.8399999999999999e+00, 1.1599999999999999e+00, 8.7300000000000000e-01, 9.6732723885949376e-02, 1.0582597829295698e-01, 1.0894452597344990e+00,-9.8870981165893712e-02, 3.4190883828070195e-01,-3.7461153996190516e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 9.5552886635164203e-02, 1.5424838942796168e-01, 1.1766069373520949e+00, 2.9225149805879702e-02, 5.3755347560173938e-01,-6.3688700200491347e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.7300000000000000e-01, 1.0649822058460033e-01, 1.9645884038592912e-01, 1.1655611510216486e+00, 2.1476463775345421e-02, 5.3320242922109917e-01,-8.3910121627455148e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01,-3.8399999999999999e+00,-1.1599999999999999e+00, 8.7300000000000000e-01, 1.8392836774027296e-01, 4.7753871000189679e-01, 1.3387577886309636e+00, 1.8646096970996404e-01, 8.0078484835710007e-01,-2.2582770829456134e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01,-3.8399999999999999e+00, 0.0000000000000000e+00,-8.7300000000000000e-01, 1.1628830304210981e-01, 3.3996179493081130e-01, 1.2434597756469776e+00, 1.8795745515303292e-01, 6.3968420005630688e-01,-1.6161091520464471e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01,-3.8399999999999999e+00,-1.1599999999999999e+00,-8.7300000000000000e-01, 1.5122044822010533e-01, 3.6608404982212811e-01, 1.3897226752832907e+00, 1.9967290909328811e-01, 8.3340061959800560e-01,-1.7272936241494946e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01,-3.8399999999999999e+00,-1.1599999999999999e+00, 0.0000000000000000e+00, 1.6673700985439355e-01, 4.2043711752015245e-01, 1.3635915803661027e+00, 1.9260527313789930e-01, 8.1691570723979656e-01,-1.9861295511676866e-01
